Date,Open,High,Low,Close,Adj Close,Volume
2006-11-27,44.131317,47.184303,43.446350,47.184303,44.492851,5400719
2006-11-28,47.027740,51.127747,46.112823,48.710796,45.932274,10277342
2006-11-29,48.828220,49.708889,46.606976,47.003277,44.322151,2590500
2006-11-30,47.614853,47.614853,44.914135,45.315327,42.730480,971618
2006-12-01,45.501247,47.585499,44.826069,47.585499,44.871162,994336
2006-12-04,48.495522,49.405548,45.794804,46.249817,43.611671,919387
2006-12-05,46.969028,47.384899,45.990509,46.293850,43.653194,402065
2006-12-06,46.577621,46.846714,44.097069,44.498264,41.960033,510801
2006-12-07,45.183228,46.577621,44.351482,45.139194,42.564400,515870
2006-12-08,45.271294,45.765450,43.739906,43.989429,41.480217,233832
2006-12-11,44.522724,45.442535,41.685013,42.360191,39.943913,309793
2006-12-12,41.704582,43.436565,38.455894,39.424629,37.175800,280729
2006-12-13,39.336563,40.608639,38.636917,40.021526,37.738655,411396
2006-12-14,40.608639,42.859238,40.447186,41.875824,39.487175,655478
2006-12-15,42.560791,44.033466,42.174274,42.996231,40.543678,609736
2006-12-18,43.984539,47.296833,43.984539,47.296833,44.598961,942197
2006-12-19,47.947552,49.092422,45.559959,47.380009,44.677395,1521734
2006-12-20,45.320221,48.828220,45.320221,47.424042,44.718914,550606
2006-12-21,47.947552,49.312588,45.506142,48.661873,45.886143,796180
2006-12-22,49.297909,50.393852,48.069866,49.072849,46.273685,1063257
2006-12-26,49.513184,49.689320,48.534664,49.141346,46.338264,510627
2006-12-27,49.689320,49.689320,48.926071,49.092422,46.292133,241691
2006-12-28,49.415333,50.545525,48.436810,49.048386,46.250603,195529
2006-12-29,49.415333,50.863544,48.935856,50.413425,47.537773,818162
2007-01-02,51.059250,51.059250,49.219627,49.430012,46.610462,175356
2007-01-03,49.801849,50.198151,49.219627,49.943733,47.094879,133507
2007-01-04,49.904594,52.443855,49.904594,52.443855,49.452389,526079
2007-01-05,53.701256,53.789326,51.103283,51.558296,48.617352,357069
2007-01-08,52.052448,53.613190,51.078819,52.380253,49.392418,457179
2007-01-09,52.840157,55.002689,52.693378,53.520229,50.467369,1214822
2007-01-10,53.525124,53.622974,50.843975,50.848866,47.948380,324234
2007-01-11,51.362591,52.106266,50.589558,51.577866,48.635799,168785
2007-01-12,53.231567,53.231567,49.317482,49.968197,47.117950,175060
2007-01-15,50.775478,51.665932,50.198151,50.477028,47.597759,138167
2007-01-16,50.393852,52.155193,50.393852,51.465336,48.529690,128418
2007-01-17,50.726551,51.837173,50.100300,50.423210,47.547012,59620
2007-01-18,52.639561,52.644455,49.576790,49.948627,47.099503,152945
2007-01-19,51.274525,52.145409,50.393852,51.646362,48.700394,182172
2007-01-22,51.714859,51.861637,50.403641,50.428104,47.551628,94009
2007-01-23,50.956505,51.176674,50.403641,50.511276,47.630054,76472
2007-01-24,50.883114,51.269630,50.198151,50.555309,47.671577,19744
2007-01-25,51.274525,53.084789,51.274525,53.084789,50.056770,354821
2007-01-29,54.679779,55.276676,54.014385,54.645531,51.528484,1164307
2007-01-31,54.846127,55.394100,53.437057,53.843143,50.771866,143205
2007-02-01,53.916531,54.601498,53.867607,54.058418,50.974869,73335
2007-02-02,53.412594,54.405792,52.253044,52.732521,49.724598,134968
2007-02-05,52.654240,53.329418,52.355789,52.546600,49.549278,57464
2007-02-06,52.546600,53.417484,52.282402,52.874405,49.858387,46141
2007-02-07,52.350899,54.797199,52.350899,54.440041,51.334717,171442
2007-02-08,54.895054,55.384315,52.840157,53.001614,49.978333,103135
2007-02-09,53.975243,53.980137,52.350899,52.644455,49.641544,78679
2007-02-12,51.881207,53.818680,47.556141,49.640392,46.808838,68112
2007-02-13,49.801849,51.294094,49.219627,49.973091,47.122559,51986
2007-02-14,48.143253,49.116882,47.575714,47.893730,45.161816,60243
2007-02-15,50.785263,51.372375,49.415333,51.059250,48.146767,47295
2007-02-19,49.811634,52.742306,49.811634,51.563187,48.621960,47970
2007-02-20,50.100300,51.665932,50.100300,50.927151,48.022205,28216
2007-02-21,52.840157,52.840157,50.393852,51.303879,48.377445,77361
2007-02-22,51.763783,52.341110,48.436810,50.149223,47.288654,21890
2007-02-23,49.513184,50.393852,47.458290,48.138363,45.392494,79712
2007-02-26,48.045403,48.632515,44.033466,48.471062,45.706215,69083
2007-02-27,48.926071,50.481922,48.436810,49.019032,46.222919,36626
2007-02-28,44.248741,47.839912,44.190029,45.550175,42.951939,141979
2007-03-01,47.448505,47.448505,43.054943,45.085377,42.513653,80529
2007-03-02,45.980724,46.841824,44.821175,45.613777,43.011913,94693
2007-03-05,44.033466,44.033466,41.587162,42.746708,40.308376,33182
2007-03-06,44.033466,44.033466,42.272125,42.790745,40.349911,22023
2007-03-07,42.086208,44.033466,40.608639,41.068546,38.725952,18405
2007-03-08,40.217232,40.608639,38.186798,39.747540,37.480297,33315
2007-03-09,41.195751,42.565681,40.608639,41.900288,39.510250,33826
2007-03-12,42.565681,43.054943,39.635010,42.555897,40.128456,42553
2007-03-13,42.369980,44.317238,42.369980,43.500172,41.018860,38455
2007-03-14,41.978569,42.458046,41.685013,42.051960,39.653263,6622
2007-03-15,43.054943,43.348499,41.587162,41.694798,39.316479,13367
2007-03-16,42.663536,42.663536,40.618423,40.916874,38.582928,9626
2007-03-19,41.587162,41.587162,40.119377,40.662460,38.343025,30300
2007-03-20,41.782867,43.837761,41.391457,42.932629,40.483704,53141
2007-03-21,42.076424,47.066879,41.831791,43.123440,40.663631,70729
2007-03-22,44.424873,44.424873,42.086208,42.448261,40.026958,18303
2007-03-23,42.076424,42.369980,41.097900,41.298496,38.942780,13888
2007-03-26,39.727970,41.440384,39.727970,40.041096,37.757103,40428
2007-03-28,39.928566,39.928566,38.358040,39.131073,36.898994,355423
2007-03-29,37.633934,40.510788,37.633934,40.148735,37.858601,18057
2007-03-30,41.195751,42.076424,39.140858,39.341454,37.097370,40356
2007-04-02,39.165321,39.713291,37.673077,37.893242,35.731770,17649
2007-04-03,38.455894,38.553745,37.281666,37.878567,35.717930,8727
2007-04-04,38.989185,38.989185,37.868778,38.132980,35.957829,5211
2007-04-05,37.501835,38.123196,37.477371,37.663288,35.514931,12304
2007-04-09,38.162334,39.727970,38.162334,39.341454,37.097370,24925
2007-04-10,39.140858,40.090023,38.950047,39.277851,37.037395,14838
2007-04-11,39.908997,39.923676,39.145748,39.654579,37.392639,15850
2007-04-12,38.749451,40.021526,38.636917,39.439308,37.189640,12958
2007-04-13,40.119377,41.000050,40.021526,40.138950,37.849380,15635
2007-04-16,41.097900,42.761387,40.315083,42.081314,39.680946,63555
2007-04-17,41.807327,42.174274,40.217232,41.146828,38.799759,12212
2007-04-18,41.528450,42.565681,41.293606,42.091099,39.690174,69104
2007-04-19,48.926071,48.926071,41.709476,42.350407,39.934692,12743
2007-04-20,44.033466,46.969028,42.174274,42.996231,40.543678,19754
2007-04-23,43.642056,45.501247,41.122364,42.174274,39.768597,18006
2007-04-24,42.859238,43.837761,41.195751,43.461029,40.981960,17925
2007-04-25,43.250648,45.011986,42.957092,44.038357,41.526352,32273
2007-04-26,44.424873,45.011986,42.565681,42.790745,40.349911,18926
2007-04-27,42.565681,44.229168,41.880718,42.634178,40.202278,14951
2007-04-30,43.152798,44.522724,39.238708,44.067715,41.554043,38455
2007-05-03,45.501247,45.873085,44.033466,44.669502,42.121502,40060
2007-05-04,44.816280,45.305542,43.260433,44.053036,41.540192,26642
2007-05-07,44.620579,45.794804,44.327023,45.095161,42.522881,46774
2007-05-08,43.744801,45.706738,43.744801,45.016880,42.449062,21041
2007-05-09,44.532513,44.884781,43.774158,44.390625,41.858528,8809
2007-05-10,45.011986,45.011986,41.694798,43.010910,40.557522,11486
2007-05-11,42.859238,46.381916,42.369980,42.761387,40.322227,12866
2007-05-14,45.501247,46.871178,44.057926,44.796711,42.241451,40520
2007-05-15,45.011986,45.109840,43.739906,44.371056,41.840076,33979
2007-05-16,45.990509,45.990509,43.544205,44.131317,41.614010,6417
2007-05-17,44.057926,44.963058,43.857330,44.361271,41.830853,64433
2007-05-18,44.057926,47.458290,43.842651,44.948383,42.384472,367656
2007-05-21,45.990509,53.940994,45.212582,53.618084,50.559643,1671603
2007-05-22,55.619160,55.902931,50.296001,50.736336,47.842270,1516256
2007-05-23,51.064140,53.818680,49.708889,51.010323,48.100636,1148610
2007-05-24,50.687412,53.427273,50.491707,51.607220,48.663483,649827
2007-05-25,50.296001,53.525124,50.296001,51.832279,48.875698,283488
2007-05-28,52.076912,53.525124,52.076912,52.375359,49.387806,158974
2007-05-29,47.947552,53.329418,47.947552,52.512352,49.516987,252605
2007-05-30,51.988846,52.742306,50.398746,51.113068,48.197510,116195
2007-05-31,50.687412,51.763783,50.687412,51.308773,48.382053,129644
2007-06-01,50.932041,51.861637,49.415333,50.056263,47.200996,55992
2007-06-04,42.086208,53.583836,42.086208,51.846958,48.889542,734618
2007-06-05,52.458534,60.570477,51.861637,55.780617,52.598824,3302359
2007-06-06,57.537060,57.537060,51.969273,52.448750,49.457008,837436
2007-06-07,51.861637,56.617252,51.861637,54.459610,51.353161,1370690
2007-06-08,53.035862,54.014385,51.861637,52.991829,49.969112,324469
2007-06-11,53.290279,56.695534,52.991829,55.007584,51.869881,843067
2007-06-12,55.286461,58.711288,54.405792,56.793385,53.553825,1763793
2007-06-13,57.214149,57.243504,54.307941,56.392193,53.175510,675958
2007-06-14,57.507706,58.515583,56.362835,56.905914,53.659935,751123
2007-06-15,57.732765,60.179070,56.563431,57.811047,54.513432,1502920
2007-06-18,58.016537,58.486225,56.264984,56.583004,53.355442,155499
2007-06-19,56.852097,58.124172,56.264984,57.033123,53.779884,173087
2007-06-20,57.918682,57.928471,56.299232,56.856991,53.613800,252319
2007-06-21,57.537060,58.026321,56.558540,57.003765,53.752205,451313
2007-06-22,56.852097,57.732765,56.264984,56.387299,53.170902,157339
2007-06-25,55.873573,57.634914,55.873573,56.294338,53.083241,2538717
2007-06-26,56.852097,58.222027,55.594696,57.390282,54.116673,522850
2007-06-27,57.732765,60.903175,57.634914,58.481335,55.145489,1403832
2007-06-28,58.711288,59.396252,57.840405,58.310093,54.984016,370017
2007-06-29,58.613434,59.396252,58.417728,58.823818,55.468441,306513
2007-07-02,58.711288,59.391357,56.764030,57.380497,54.107449,356762
2007-07-03,58.026321,59.200546,57.047798,57.654484,54.365799,533774
2007-07-04,58.222027,58.809139,57.732765,58.163315,54.845608,282303
2007-07-05,58.564510,60.276920,58.026321,58.946133,55.583775,716846
2007-07-06,59.494102,59.660454,58.129066,58.412838,55.080902,515338
2007-07-09,59.572388,60.159496,58.055676,58.226917,54.905586,771449
2007-07-10,59.298401,59.572388,57.145653,57.904007,54.601097,276866
2007-07-11,57.732765,58.466656,57.644699,57.904007,54.601097,141366
2007-07-12,57.928471,59.689808,57.928471,59.210335,55.832905,239647
2007-07-13,59.689808,59.846371,57.243504,57.517490,54.236626,173547
2007-07-16,57.243504,58.222027,56.998875,57.219044,53.955196,138678
2007-07-17,57.263077,64.464996,56.656391,62.018688,58.481071,1980733
2007-07-18,62.233963,64.063797,60.585155,61.230980,57.738293,773953
2007-07-19,62.033367,62.033367,59.738735,60.555801,57.101624,218625
2007-07-20,62.126328,69.475021,60.864033,64.861298,61.161533,1709006
2007-07-23,64.778122,67.214638,56.558540,63.975731,60.326481,878519
2007-07-24,65.071678,65.169525,62.018688,63.256519,59.648293,344857
2007-07-25,61.372864,63.109741,60.668331,61.695778,58.176567,94806
2007-07-26,62.625374,66.539459,62.141003,63.530506,59.906647,386746
2007-07-27,63.109741,63.109741,59.352219,60.521549,57.069328,171329
2007-07-30,59.689808,61.940407,56.856991,60.839573,57.369209,55910
2007-07-31,61.744701,64.093155,61.744701,62.894466,59.306885,150574
2007-08-01,61.059738,62.136112,59.396252,59.699593,56.294250,216612
2007-08-02,60.961887,63.897449,59.885513,62.737904,59.159260,181600
2007-08-03,64.474777,65.658791,61.793629,62.204609,58.656380,212064
2007-08-06,61.646851,63.212486,57.840405,61.974655,58.439548,65455
2007-08-07,62.625374,63.897449,61.656635,62.233963,58.684063,50484
2007-08-08,61.940407,65.355446,61.940407,63.638142,60.008141,291286
2007-08-09,63.985516,65.169525,61.646851,61.842556,58.314983,201998
2007-08-10,57.732765,63.114632,56.856991,62.693871,59.117737,54377
2007-08-13,63.941483,64.191010,62.967854,63.750671,60.114254,49288
2007-08-14,63.114632,63.408192,61.940407,62.072510,58.531818,23402
2007-08-16,59.494102,62.233963,59.494102,61.690884,58.171955,124810
2007-08-17,61.182053,61.646851,58.442192,59.772984,56.363468,97616
2007-08-20,63.506042,63.506042,60.668331,61.108665,57.622944,31353
2007-08-21,60.374771,60.937424,60.330742,60.702579,57.240028,41562
2007-08-22,59.689808,63.603893,58.711288,62.649837,59.076218,151095
2007-08-23,64.455208,64.455208,60.668331,61.661530,58.144279,110564
2007-08-24,61.661530,62.625374,60.912960,61.984440,58.448772,13203
2007-08-27,62.136112,65.326096,62.136112,64.802582,61.106171,143379
2007-08-28,62.185040,64.875969,62.185040,64.034447,60.381844,30699
2007-08-29,58.760212,63.995304,58.760212,62.791721,59.210007,2191909
2007-08-30,63.799599,63.799599,60.668331,62.948284,59.357639,1168272
2007-08-31,63.011890,63.114632,62.136112,62.297569,58.744038,22533
2007-09-03,62.723225,67.014038,62.723225,65.600075,61.858158,238431
2007-09-04,66.637314,69.964287,66.637314,67.972992,64.095734,296723
2007-09-05,68.956406,71.432068,66.735161,69.499489,65.535164,342884
2007-09-06,69.083611,71.383141,68.692207,69.181465,65.235275,426367
2007-09-07,69.959389,70.453545,67.028717,67.522873,63.671280,98127
2007-09-10,66.974899,72.117027,66.637314,70.208916,66.204109,266381
2007-09-11,70.844955,71.823471,69.700081,70.145309,66.144119,173741
2007-09-12,70.786240,70.786240,68.124664,68.706886,64.787773,99803
2007-09-13,69.455452,71.040657,67.351631,67.606049,64.069084,80529
2007-09-14,68.007240,69.817505,67.322273,67.826218,64.277733,75685
2007-09-17,68.114876,69.475021,67.322273,68.207840,64.639389,51189
2007-09-18,68.496498,73.976219,68.202942,70.991730,67.277611,599251
